mp,sim,full_name,member
Batkivshyna,0.6322430792,Батьківщина,NA
386,0.6311141735,Соболєв Сергій,"Фракція політичної партії "Всеукраїнське об'єднання "Батьківщина" у Верховній Раді України"
18041,0.6304919968,Шухевич Юрій-Богдан,Фракція Радикальної партії Олега Ляшка
18130,0.6278745163,Рибчинський Євген,"Група "Воля народу"
2308,0.6259976116,Развадовський Віктор,"Група "Воля народу"
17965,0.6258658972,Котвіцький Ігор,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
18015,0.6248909887,Журжій Андрій,"Фракція Політичної партії "Об'єднання "САМОПОМІЧ"
15667,0.6236405963,Продан Оксана,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
15838,0.6234930658,Бригинець Олександр,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
15823,0.6217253457,Негой Федір,Позафракційні
16430,0.6202582818,Рудик Сергій,Позафракційні
13379,0.6195480673,Новак Наталія,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
15649,0.6172974361,Кубів Степан,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
18078,0.6131806277,Гуляєв Василь,"Група "Відродження"
15681,0.612929005,Савчук Юрій,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
19858,0.6110538144,Саврасов Максим,Позафракційні
7741,0.6110199958,Чекіта Геннадій,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
5582,0.6101009386,Сабашук Петро,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
19740,0.609424672,Мепарішвілі Хвича,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
17650,0.6086925486,Шевченко Олександр,Позафракційні
15803,0.6084321491,Шаповалов Юрій,"Група "Воля народу"
16517,0.6082526288,Мусій Олег,Позафракційні
18063,0.6081995746,Батенко Тарас,Позафракційні
18083,0.6074834468,Дідич Валентин,Позафракційні
17960,0.6049096142,Поляков Максим,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
18010,0.5964054056,Сотник Олена,"Фракція Політичної партії "Об'єднання "САМОПОМІЧ"
17995,0.5934148271,Грановський Олександр,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
735,0.592166362,Кужель Олександра,"Фракція політичної партії "Всеукраїнське об'єднання "Батьківщина" у Верховній Раді України"
15646,0.5917823853,Гриневич Лілія,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
17983,0.5878354536,Антонищак Андрій,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
15804,0.5872057184,Кулініч Олег,"Група "Відродження"
16340,0.5867315186,Білоцерковець Дмитро,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
20121,0.5815218559,Данілін Владислав,"Фракція Політичної партії "НАРОДНИЙ ФРОНТ"
18045,0.5810235284,Мосійчук Ігор,Фракція Радикальної партії Олега Ляшка
17973,0.5797245135,Гройсман Володимир,Позафракційні
18144,0.577453302,Усов Костянтин,"Фракція ПАРТІЇ "БЛОК ПЕТРА ПОРОШЕНКА"
